corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to,stock_code,corp_cls,first_period,seed_source
00796994,2020,조선선재,,20200515,20200515000763,,120030,Y,Q1,historical_dart_periodic_filing_universe
00797364,2020,KC코트렐,,20200515,20200515001965,,119650,Y,Q1,historical_dart_periodic_filing_universe
00799070,2020,딥커머스,,20200629,20200629000480,,900110,K,Q1,historical_dart_periodic_filing_universe
00799177,2020,삼기,,20200515,20200515000593,,122350,K,Q1,historical_dart_periodic_filing_universe
00799539,2020,제노레이,,20200513,20200513000159,,122310,K,Q1,historical_dart_periodic_filing_universe
00800084,2020,씨엑스아이,,20200601,20200601000489,,900120,K,Q1,historical_dart_periodic_filing_universe
00800145,2020,서진오토모티브,,20200515,20200515001023,,122690,K,Q1,historical_dart_periodic_filing_universe
00803425,2020,코리아에프티,,20200514,20200514000949,,123410,K,Q1,historical_dart_periodic_filing_universe
00807379,2020,신흥에스이씨,,20200515,20200515001452,,243840,K,Q1,historical_dart_periodic_filing_universe
00807397,2020,코이즈,,20200515,20200515000370,,121850,K,Q1,historical_dart_periodic_filing_universe
00807555,2020,메가엠디,,20200515,20200515002249,,133750,K,Q1,historical_dart_periodic_filing_universe
00808022,2020,메지온,,20200515,20200515002355,,140410,K,Q1,historical_dart_periodic_filing_universe
00808068,2020,앤로보틱스,,20200515,20200515002118,,138360,K,Q1,historical_dart_periodic_filing_universe
00808086,2020,HLB펩,,20200515,20200515000067,,196300,K,Q1,historical_dart_periodic_filing_universe
00809429,2020,뉴온,,20200515,20200515001499,,123840,K,Q1,historical_dart_periodic_filing_universe
00811372,2020,노바렉스,,20200512,20200512000013,,194700,K,Q1,historical_dart_periodic_filing_universe
00813389,2020,베셀,,20200513,20200513000123,,177350,K,Q1,historical_dart_periodic_filing_universe
00814786,2020,티엔엔터테인먼트,,20200515,20200515002430,,131100,K,Q1,historical_dart_periodic_filing_universe
00815095,2020,우리이앤엘하루틴,,20200515,20200515000525,,153490,K,Q1,historical_dart_periodic_filing_universe
00815369,2020,에스제이엠,,20200515,20200515000964,,123700,Y,Q1,historical_dart_periodic_filing_universe
00815767,2020,위메이드플레이,,20200515,20200515001360,,123420,K,Q1,historical_dart_periodic_filing_universe
00816544,2020,토니모리,,20200515,20200515002098,,214420,Y,Q1,historical_dart_periodic_filing_universe
