corp_code,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,statement_basis,period_end,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,basis_comparable_to_immediate_predecessor,signal_date_status,source_type,modern_oos_protected
00102618,2015,Q2,20150813000727,20150813,ok,CFS,2015-06-30,5166686944.0,2184045621.0,5907873922.0,3115258297.0,157442327256.0,3445475545.0,-4242885180.0,5918740368.0,3507803463.0,554445380.0,305435741.0,3813239204.0,-8056124384.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102618,2015,Q3,20151116000610,20151116,ok,CFS,2015-09-30,7247002549.0,2080315605.0,9292481253.0,3384607331.0,161116791310.0,11708131619.0,8262656074.0,14584870634.0,8666130266.0,955919188.0,401473808.0,9067604074.0,-804948000.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102618,2015,Q4,,,ok,CFS,,7103017012.0,-143985537.0,9581186296.0,288705043.0,160448786409.0,19205121793.0,7496990174.0,25414093430.0,10829222796.0,1419633423.0,463714235.0,11292937031.0,-3795946857.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00102751,2015,Q1,20150514001203,20150514,ok,CFS,2015-03-31,3636685902.0,3636685902.0,2509614640.0,2509614640.0,76957965583.0,10036363111.0,10036363111.0,654276149.0,654276149.0,0.0,0.0,654276149.0,9382086962.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102751,2015,Q2,20150813000508,20150813,ok,CFS,2015-06-30,5702746326.0,2066060424.0,4008103236.0,1498488596.0,78359414636.0,11153445400.0,1117082289.0,1678724779.0,1024448630.0,20482000.0,20482000.0,1044930630.0,72151659.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102751,2015,Q3,20151116000906,20151116,ok,CFS,2015-09-30,6667210197.0,964463871.0,4939538974.0,931435738.0,78739645818.0,5000504608.0,-6152940792.0,2259976349.0,581251570.0,20482000.0,0.0,581251570.0,-6734192362.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102751,2015,Q4,,,ok,CFS,,6761497543.0,94287346.0,5400030676.0,460491702.0,79342018649.0,9550784347.0,4550279739.0,3761586241.0,1501609892.0,20482000.0,0.0,1501609892.0,3048669847.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00102760,2015,Q1,,,no_receipt,,,,,,,,,,,,,,,,,,,True
00102760,2015,Q2,,,no_receipt,,,,,,,,,,,,,,,,,,,True
00102760,2015,Q3,20151116000622,20151116,ok,CFS,2015-09-30,29305474128.0,,-145334493409.0,,1784572286428.0,-58569915716.0,,0.0,,0.0,,,,False,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102760,2015,Q4,,,ok,CFS,,-166913340303.0,-196218814431.0,-520745748025.0,-375411254616.0,1414306892213.0,215007598329.0,273577514045.0,0.0,0.0,0.0,0.0,0.0,273577514045.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00102858,2015,Q1,20150515001430,20150515,ok,CFS,2015-03-31,172760383903.0,172760383903.0,131892717226.0,131892717226.0,4816905840829.0,259875209430.0,259875209430.0,0.0,0.0,0.0,0.0,0.0,259875209430.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102858,2015,Q2,20150817000784,20150817,ok,CFS,2015-06-30,365224936314.0,192464552411.0,285742592662.0,153849875436.0,5028923860734.0,496154386972.0,236279177542.0,283539993042.0,283539993042.0,150000000.0,150000000.0,283689993042.0,-47410815500.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102858,2015,Q3,20151116000577,20151116,ok,CFS,2015-09-30,543944296830.0,178719360516.0,415486987037.0,129744394375.0,5170141780654.0,762410344269.0,266255957297.0,387494325572.0,103954332530.0,150000000.0,0.0,103954332530.0,162301624767.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00102858,2015,Q4,,,ok,CFS,,672218933053.0,128274636223.0,513990324342.0,98503337305.0,5219368828324.0,944860095270.0,182449751001.0,479884968664.0,92390643092.0,301121860.0,151121860.0,92541764952.0,89907986049.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00103006,2015,Q1,20150515001128,20150515,ok,CFS,2015-03-31,13578287235.0,13578287235.0,3746278379.0,3746278379.0,1478692385721.0,-9580527957.0,-9580527957.0,0.0,0.0,0.0,0.0,0.0,-9580527957.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103006,2015,Q2,20150813000409,20150813,ok,CFS,2015-06-30,28560048221.0,14981760986.0,15453576024.0,11707297645.0,1501886799892.0,91498124225.0,101078652182.0,0.0,0.0,0.0,0.0,0.0,101078652182.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103006,2015,Q3,20151113000519,20151113,ok,CFS,2015-09-30,31709880143.0,3149831922.0,10559523264.0,-4894052760.0,1477363146955.0,128392709011.0,36894584786.0,0.0,0.0,0.0,0.0,0.0,36894584786.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103006,2015,Q4,,,ok,CFS,,44349958108.0,12640077965.0,18346363930.0,7786840666.0,1456028585605.0,200742673806.0,72349964795.0,0.0,0.0,0.0,0.0,0.0,72349964795.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00103042,2015,Q1,20150515002375,20150515,ok,CFS,2015-03-31,2772509251.0,2772509251.0,3533303753.0,3533303753.0,167575458611.0,1096831824.0,1096831824.0,9221179814.0,9221179814.0,0.0,0.0,9221179814.0,-8124347990.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103042,2015,Q2,20150813000958,20150813,ok,CFS,2015-06-30,6820270111.0,4047760860.0,1015395483.0,-2517908270.0,164924093069.0,4154677576.0,3057845752.0,16987591105.0,7766411291.0,309138250.0,309138250.0,8075549541.0,-5017703789.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103042,2015,Q3,20151116000455,20151116,ok,CFS,2015-09-30,11457414303.0,4637144192.0,7215500917.0,6200105434.0,170996823983.0,5355242906.0,1200565330.0,21390561170.0,4402970065.0,597411326.0,288273076.0,4691243141.0,-3490677811.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103042,2015,Q4,,,ok,CFS,,13385079688.0,1927665385.0,9071982622.0,1856481705.0,172021197230.0,14044650064.0,8689407158.0,37989410638.0,16598849468.0,597105326.0,306000.0,16599155468.0,-7909748310.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00103130,2015,Q1,20150515001113,20150515,ok,CFS,2015-03-31,-483758537.0,-483758537.0,135779204.0,135779204.0,30279240891.0,,,,,,,,,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103130,2015,Q2,20150817000637,20150817,ok,CFS,2015-06-30,-783174708.0,-299416171.0,342019677.0,206240473.0,30811623983.0,-11499757850.0,,8287758.0,,0.0,,,,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103130,2015,Q3,20151111000103,20151111,ok,CFS,2015-09-30,-780036472.0,3138236.0,2227667508.0,1885647831.0,33507548289.0,-10257156404.0,1242601446.0,-1462515.0,9750273.0,0.0,0.0,9750273.0,1232851173.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00103130,2015,Q4,,,ok,CFS,,-557356647.0,222679825.0,2158057644.0,-69609864.0,39520723678.0,-8120533129.0,2136623275.0,2412411.0,3874926.0,0.0,0.0,3874926.0,2132748349.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
